               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.018625,           0.0094485,            0.022611,             0.78853,             0.91552,             0.92974,             0.73271,            0.014572,           0.0029307,            0.010524,            0.006931,            0.006931,            0.006931
                  64,             0.01887,            0.009495,            0.021845,             0.86171,             0.89707,              0.9299,             0.70293,            0.014204,           0.0028309,            0.007969,           0.0068815,           0.0068815,           0.0068815
                  65,            0.018388,           0.0094715,            0.022726,             0.80783,             0.88876,             0.92207,             0.71747,            0.014842,           0.0028938,           0.0088284,            0.006832,            0.006832,            0.006832
                  66,            0.018602,           0.0096605,            0.022976,              0.9209,              0.8162,             0.92012,             0.71639,            0.014467,           0.0028709,            0.008655,           0.0067825,           0.0067825,           0.0067825
                  67,            0.018841,           0.0094944,            0.021887,             0.91092,             0.84072,             0.92492,             0.71053,            0.014294,           0.0028173,           0.0080578,            0.006733,            0.006733,            0.006733
                  68,            0.018839,            0.009584,            0.021114,             0.83468,             0.89766,             0.92191,             0.67845,            0.015017,           0.0028117,            0.008132,           0.0066835,           0.0066835,           0.0066835
                  69,            0.018655,           0.0095297,            0.021288,             0.80512,             0.92628,              0.9346,             0.73374,            0.013875,           0.0027498,           0.0078478,            0.006634,            0.006634,            0.006634
                  70,            0.018855,           0.0096573,            0.021687,             0.83899,             0.86671,             0.92282,             0.71525,            0.012978,           0.0028758,           0.0094534,           0.0065845,           0.0065845,           0.0065845
                  71,            0.018485,           0.0093087,            0.020784,             0.80962,             0.92764,             0.93938,              0.6948,            0.014273,           0.0027728,           0.0088599,            0.006535,            0.006535,            0.006535
                  72,            0.018647,            0.009225,             0.01994,             0.84311,             0.93284,             0.95227,             0.74943,            0.012993,           0.0027254,           0.0079143,           0.0064855,           0.0064855,           0.0064855
                  73,              0.0183,           0.0093327,            0.019889,             0.83107,             0.91872,              0.9357,             0.68904,            0.012805,           0.0028379,           0.0074763,            0.006436,            0.006436,            0.006436
                  74,            0.018393,           0.0093539,            0.020247,             0.83252,             0.87953,             0.92232,             0.72483,            0.013434,           0.0027477,             0.00804,           0.0063865,           0.0063865,           0.0063865
                  75,            0.018755,            0.009369,            0.019933,              0.8527,             0.91314,              0.9512,             0.72659,            0.014955,           0.0028699,           0.0066804,            0.006337,            0.006337,            0.006337
                  76,            0.017852,           0.0090822,            0.018647,             0.83798,             0.93088,             0.95597,             0.73986,            0.013653,           0.0028289,           0.0076395,           0.0062875,           0.0062875,           0.0062875
                  77,            0.018053,           0.0092984,             0.02026,             0.85933,              0.9151,             0.94596,             0.74355,            0.012236,           0.0027129,           0.0063411,            0.006238,            0.006238,            0.006238
                  78,            0.017958,           0.0092174,            0.019666,             0.85129,             0.93123,             0.93822,             0.72255,            0.013529,           0.0028761,           0.0060028,           0.0061885,           0.0061885,           0.0061885
                  79,            0.018115,           0.0092374,            0.019501,             0.82252,             0.92325,             0.94733,             0.74333,            0.012692,           0.0026495,           0.0078555,            0.006139,            0.006139,            0.006139
                  80,            0.017852,           0.0093809,            0.018946,             0.83021,             0.91356,             0.94263,             0.74776,            0.013008,            0.002782,           0.0085853,           0.0060895,           0.0060895,           0.0060895
